name,status,description,start_date,end_date,requirements,funding,contact,url
Accompagner les apprenants vers la qualification et l'emploi,NA,"Cet appel à projet permanent FSE+ vise à accompagner les apprenants vers la qualification et l'emploi dans la région des Hauts-de-France. Il s'inscrit dans le Programme Régional Hauts-de-France FEDER-FSE + – FTJ 2021-2027, avec comme objectif spécifique d'améliorer la qualité, l'inclusion et l'efficacité des systèmes d'éducation et de formation. Les structures éligibles sont nombreuses, allant des associations aux collectivités territoriales, en passant par les établissements d'enseignement supérieur et les missions locales. Les bénéficiaires finaux sont les collégiens, lycéens, apprentis, stagiaires de la formation professionnelle, étudiants, demandeurs d'emploi, etc. Les projets doivent être déposés sur le portail e-synergie et respecter les dates et modalités spécifiées. Il est recommandé de prendre contact avec le service instructeur FSE+ pour faciliter l'instruction des dossiers.",NA,NA,"- Promote equal access to lifelong learning opportunities for all learners in the Hauts-de-France region.
- Support innovative learning initiatives that benefit learners and contribute to the economic development of the region.
- Adapt the actions to the specific needs and challenges of the most vulnerable learners.
- Cooperate with the campuses of trades and qualifications for each action.
- The eligible structures include associations, foundations, professional branches, vocational training centers, chambers of commerce, training organizations, public and private higher education institutions, healthcare and social training institutes, local authorities, and academic authorities.
- The target beneficiaries include students in middle school, high school, apprentices, vocational training participants, healthcare and social training students, university students, job seekers, alternative learners and candidates, young people and families, and NEETs (youth aged 15 to 29 not in employment, education, or training).
- Applications must be submitted through the e-synergie platform, and it is recommended to contact the FSE+ instructing service for guidance.
- Projects must start between January 1, 2023, and December 31, 2027, with a maximum duration of 36 months.
- The selection of projects is subject to available funding.",NA,NA,https://europe-en-hautsdefrance.eu/fse,
FEAMPA,NA,"L'appel à projets FEAMPA vise à renforcer les activités de pêche durables sur les plans économique, social et environnemental. Les objectifs incluent l'amélioration de la résilience et de la compétitivité du secteur, le soutien au renouvellement des générations, le développement de son attractivité et de son image, ainsi que la préservation de la ressource halieutique et la gestion des déchets. Les actions éligibles comprennent la modernisation et la diversification des activités de pêche, le conseil et la formation, les investissements dans les ports de pêche, la recherche et l'innovation, ainsi que les actions collectives de partage de connaissances et de sensibilisation. Les bénéficiaires éligibles sont les entreprises de pêche, les armateurs, les collectivités territoriales, les organisations professionnelles, les organisations scientifiques et les associations. Ce projet est cofinancé par l'Union européenne.",NA,NA,"- Modernisation, adaptation, diversification des activités de pêche
- Le conseil et la formation
- Les investissements dans les ports de pêche
- La recherche et l'innovation
- Les actions collectives de partage de connaissance, de communication et de sensibilisation
- Installation jeune pêcheur
- Opération à bord entraînant une augmentation du tonnage brut pour améliorer la sécurité, les conditions de travail et l'efficacité énergétique",NA,NA,https://europe-en-hautsdefrance.eu/feampa-renforcer-les-activites-de-peche-durables-111,
NA,NA,NA,NA,NA,NA,NA,NA,NA,
Soutenir les événementiels,NA,"Cet appel à projets vise à soutenir la mise en place d'événements territoriaux dans la région Hauts-de-France, afin de présenter les métiers, les formations et les différentes voies de formation aux jeunes et à leurs accompagnateurs. L'objectif est de valoriser les métiers en tension, méconnus ou souffrant d'un déficit d'image, ainsi que ceux en lien avec les besoins du territoire. Les projets doivent favoriser les échanges avec le public et la participation active. Les bénéficiaires peuvent être des associations, des branches professionnelles, des CFA, des organismes de formation, des missions locales, des collectivités territoriales, etc. La période d'éligibilité de l'opération est du 1er janvier 2021 au 31 décembre 2029, et la durée de réalisation de l'opération doit être comprise entre 12 et 36 mois. Les dossiers doivent être déposés sur le portail e-synergie.",NA,NA,"- Support the implementation of territorial events throughout the Hauts-de-France region
- Target young people and their accompanying individuals
- Present information about professions, training, and educational pathways
- Emphasize professions that are in high demand or have recruitment difficulties
- Highlight professions related to the needs of the region and major projects in the Hauts-de-France region
- Encourage active participation from the public
- Eligible beneficiaries include associations, foundations, professional branches, training organizations, educational institutions, etc.
- The project should have a duration of at least 12 months and no more than 36 months
- Operation period must be between January 1, 2021, and December 31, 2029
- Applications must be submitted through the e-synergie portal
- Contact the FSE+ service for more information about the project and the application process",NA,NA,https://europe-en-hautsdefrance.eu/fse-appel-a-projets-soutenir-les-evenementiels,
FEADER - Appel à projets 2023 Agroenvironnement,open,"Cet appel à projets vise à soutenir les investissements favorisant les pratiques agro-écologiques dans le but de réduire les impacts agro-environnementaux et climatiques. Les actions éligibles comprennent la protection de la biodiversité, la réduction de l'utilisation de pesticides, l'utilisation de méthodes biologiques et physiques de lutte contre les bioagresseurs, la gestion de la fertilisation, l'autonomie alimentaire des animaux, l'économie d'énergie et d'eau, et la prévention de la pollution des sols et des eaux. Les exploitants agricoles individuels, les personnes morales liées à l'agriculture, les établissements de développement agricole, les associations et les coopératives agricoles sont éligibles. Le montant prévisionnel alloué à cet appel à projets est de 6 millions d'euros pour 2023. Le dépôt des dossiers se fait en ligne via l'outil EUROPAC.",15 June 2023,14 December 2023,"- Investments supporting agro-ecological practices in order to reduce agro-environmental and climatic impacts.
- Protect and promote functional biodiversity, including auxiliaries, pollinators, and their habitats.
- Reduce the use of chemical pesticides and practice integrated pest management.
- Use biological and/or physical methods to combat pests.
- Manage fertilization effectively and reduce the use of mineral fertilizers.
- Achieve self-sufficiency in animal feed.
- Save energy, especially fossil fuels.
- Save water resources.
- Preserve soil from erosion and leaching.
- Maintain and enrich soil organic matter.
- Limit emissions of greenhouse gases, ammonia, air pollutants, and odors.
- Control the risk of water pollution.

Note: These requirements are applicable to various eligible structures including individual farmers, agricultural cooperatives, research institutions, and private owners managing agricultural land. The call for projects is open from June 15th, 2023, to December 14th, 2023.",6,NA,https://europe-en-hautsdefrance.eu/feader-appel-a-projets-2023-agroenvironnement,
Accompagner les apprenants vers la qualification et l'emploi,open,"L'appel à projets permanent FSE+ vise à accompagner les apprenants vers la qualification et l'emploi dans la région Hauts-de-France. Il s'agit d'une initiative du Programme Régional Hauts-de-France FEDER-FSE + – FTJ 2021-2027, qui privilégie l'innovation et l'expérimentation sociale. L'objectif est d'améliorer la qualité, l'inclusion et l'efficacité des systèmes d'éducation et de formation, ainsi que leur adaptation au marché du travail. Les dispositifs d'apprentissage innovants sont encouragés pour assurer une égalité d'accès à la formation tout au long de la vie. Les acteurs éligibles sont divers, tels que les associations, les établissements de formation, les collectivités territoriales, les organismes de formation, etc. Les bénéficiaires finaux sont les collégiens, lycéens, apprentis, stagiaires de la formation professionnelle, étudiants, demandeurs d'emploi, ainsi que les jeunes et les familles. Les dossiers doivent être déposés sur le portail e-synergie, et la durée maximale d'une opération est de 36 mois.",NA,31 December 2027,"- The project aims to develop innovative learning programs.
- The actions must benefit all learners, including those in vulnerable situations.
- Collaboration with vocational training centers is expected for each action.
- Eligible structures include associations, foundations, CFA, chambers of commerce, training organizations, public and private higher education institutions, health and social training institutes, and more.
- The final beneficiaries include students, apprentices, trainees, job seekers, and young people aged 15 to 29 who are not working or studying.
- The project must start no earlier than January 1, 2023, and end no later than December 31, 2027.
- The maximum duration of the project is 36 months.
- The project selection will be subject to the availability of funds.",NA,NA,https://europe-en-hautsdefrance.eu/fse,
FEAMPA,NA,"Le projet FEAMPA vise à renforcer les activités de pêche durables sur le plan économique, social et environnemental dans la région. Les objectifs sont d'améliorer la résilience et la compétitivité du secteur de la pêche, de soutenir le renouvellement des générations, de développer son attractivité auprès du public et de préserver la ressource halieutique. Les actions éligibles comprennent la modernisation et la diversification des activités de pêche, le conseil et la formation, les investissements dans les ports de pêche, la recherche et l'innovation, les actions collectives de partage de connaissance et de sensibilisation. Les bénéficiaires éligibles sont les entreprises de pêche, les armateurs, les concessionnaires, les gestionnaires de ports, les collectivités territoriales, les organisations professionnelles et interprofessionnelles, les organisations scientifiques et les associations.",NA,NA,"- Modernisation, adaptation, diversification des activités de pêche
- Le conseil et la formation
- Les investissements dans les ports de pêche
- La recherche et l'innovation
- Les actions collectives de partage de connaissance, de communication, de sensibilisation
- Installation jeune pêcheur
- Opération à bord entraînant une augmentation du tonnage brut pour améliorer la sécurité, les conditions de travail et l'efficacité énergétique",NA,NA,https://europe-en-hautsdefrance.eu/feampa-renforcer-les-activites-de-peche-durables-111,
Soutenir les événementiels,NA,"Cet appel à projet vise à soutenir la mise en place d'événements territoriaux dans la région des Hauts-de-France, destinés aux jeunes et à leurs accompagnateurs. L'objectif est de présenter les métiers, les formations et les différentes voies de formation. L'appel à projet vise également à valoriser les métiers en tension, méconnus ou avec un déficit d'image, ainsi qu'à favoriser les échanges avec le public. Les bénéficiaires de cet appel à projet sont les associations, les branches professionnelles, les CFA, les chambres consulaires, les organismes de formation, les établissements d'enseignement supérieur, les instituts et écoles de formations sanitaire et sociale, les missions locales, les collectivités territoriales, l'autorité académique, etc. La période d'éligibilité de l'opération va du 1er janvier 2021 au 31 décembre 2029. Les dossiers doivent être déposés sur le portail e-synergie et doivent avoir une durée de réalisation comprise entre 12 et 36 mois.",01 January 2021,NA,"- The project aims to support the organization of territorial events throughout the Hauts-de-France region.
- The events should be focused on presenting various professions, training opportunities, and different pathways of education.
- The project should emphasize promoting in-demand professions, lesser-known but promising job opportunities, and professions that have a negative image or face recruitment difficulties.
- The events should be related to the needs of the region and the major projects in the Hauts-de-France region, with a focus on economic, societal, and environmental changes and challenges.
- Active participation of the public is desired, and projects that encourage exchanges with the public will be supported.
- The eligible beneficiaries include associations, foundations, professional branches, training organizations, educational institutions, social and health training institutes, local authorities, and regional council.
- The project should be implemented between January 1, 2021, and December 31, 2029, with a minimum duration of 12 months and a maximum duration of 36 months.
- The application should be submitted through the e-synergie portal, and a contact with the FSE+ service is recommended.
- Detailed information about the project can be found in the project presentation and the e-synergie guide.",NA,NA,https://europe-en-hautsdefrance.eu/fse-appel-a-projets-soutenir-les-evenementiels,
NA,NA,NA,NA,NA,NA,NA,NA,NA,
FEADER - Appel à projets 2023 Végétal,open,"Cet appel à projets vise à soutenir les investissements dans les productions végétales pour améliorer leur performance et leur durabilité. Les actions éligibles incluent le développement de productions créatrices de valeur ajoutée, l'adaptation aux marchés, l'amélioration du processus de production, la réorientation ou la diversification de la production, l'amélioration des conditions de travail, le soutien aux signes officiels de qualité, le développement de filières non alimentaires, et la résilience face aux aléas. Les exploitants agricoles, les personnes morales, les établissements de développement et de recherche agricole, les associations, les CUMA, les coopératives agricoles, et les personnes morales habilitées sont éligibles. Le montant prévisionnel pour 2023 est de 6 millions d'euros. Les demandes peuvent être déposées en ligne via la plateforme EUROPAC.",15 June 2023,14 December 2023,"- This call for projects supports investments in plant production in agricultural farms to improve overall performance and sustainability.
- Eligible actions include investments that reinforce the sustainability of farms, adapt production to markets, optimize the production process, diversify production, improve working conditions, and support specific quality requirements.
- Eligible applicants include individual farmers, agricultural cooperatives, agricultural research institutions, and associations engaged in eligible agricultural activities.
- The headquarters of the applicant must be located in the Hauts-de-France region.
- The expected funding for this call for projects in 2023 is 6 million euros.
- Applications can be submitted through the EUROPAC online platform, with a simplified application form available for projects that are close to completion before the full application can be submitted.
- The deadline for applications is December 14, 2023.
- A list of eligible investments is provided in the annex of the call for projects.
- The full details of the objectives, modalities, and requirements for the projects can be found in the call for projects document.",6,NA,https://europe-en-hautsdefrance.eu/feader-appel-a-projets-2023-vegetal,
