name,status,description,start_date,end_date,requirements,funding,contact,url
"Animation des sites Natura 2000 : Préservation et restauration du patrimoine naturel et forestier, dont les sites Natura 2000.",open,"This call for projects aims to fund the implementation of the Natura 2000 sites' Management Plans through actions such as information, awareness-raising, communication, technical support, and scientific studies. The eligible beneficiaries are designated by the steering committee of the Natura 2000 site. The eligible region is Provence-Alpes-Côte d'Azur. The total budget for the call is €500,000. The application deadline is September 30, 2023.",03 July 2023,30 September 2023,"- Financement des actions d'animation pour la mise en œuvre des DOCOB des sites Natura 2000
- Actions d'information, de sensibilisation et de communication auprès des propriétaires ou gestionnaires d'espaces, du grand public ou des groupes scolaires
- Démarchage pour la mise en œuvre des mesures contractuelles et non contractuelles
- Appui technique pour le montage de contrats
- Suivi de la mise en œuvre du DOCOB et évaluation de la nécessité de mise à jour
- Conduite d'études, d'inventaires et de suivis scientifiques
- Structures porteuses éligibles désignées par le comité de pilotage du site Natura 2000
- Parcs nationaux peuvent être structures porteuses pour les sites situés dans leur périmètre du cœur
- Région éligible: Provence-Alpes-Côte d'Azur
- Procédure de dépôt des dossiers de demande d'aide sur la plateforme euro-pac
- Budget total de l'appel: 500 000 €
- Date d'ouverture: 03/07/2023
- Date de clôture: 30/09/2023",500000,NA,https://europe.maregionsud.fr//projets/detail/animation-des-sites-natura-2000-intervention-7304a-preservation-et-restauration-du-patrimoine-naturel-et-forestier-dont-les-sites-natura-2000-1
Soutenir l’installation de médecins dans les déserts médicaux.,open,"This project aims to support the installation of doctors in medical deserts by providing internship grants to medical students. The objective is to introduce future general practitioners to professional practice in socially disadvantaged and medically underserved areas. The eligible territories are the Provence-Alpes-Côte d'Azur region, specifically ZIP or ZAC areas with a level 3, 4, or 5 social deprivation index. The total funding for this call is 1,500,000 €. The application procedure can be found on page 11 of the call. The call is open from June 30, 2023, to October 20, 2023.",30 June 2023,20 October 2023,"- Financing of internships for medical students in general medicine
- Interns must be enrolled in the Faculty of Medical and Paramedical Sciences Aix-Marseille University or the Faculty of Medicine at the University Côte d'Azur
- The internships must take place in socially disadvantaged areas with a low density of medical professionals
- The regions eligible for the project are those located in the Provence-Alpes-Côte d’Azur region in France
- The specific territories for the internships are identified as ZIP or ZAC zones with levels 3, 4, or 5 of social disadvantage
- The total budget for the project is €1,500,000
- The call for projects opens on June 30, 2023, and closes on October 20, 2023",1500000,NA,https://europe.maregionsud.fr//projets/detail/soutenir-linstallation-de-medecins-dans-les-deserts-medicaux
Soutien au tourisme diversifié et durable dans le Massif Alpin.,open,"Support for diversified and sustainable tourism in the Alpine Massif. The aim is to support projects that promote sustainable tourism and the development of new, all-season, public-friendly and diverse tourist offerings. This includes the enhancement of natural and cultural heritage and the renovation of mountain refuges. The total amount of funding available is €3,000,000, and the eligibility zone is the territory of the Alpine Massif. The call for proposals is open from June 9, 2023, to January 30, 2024.",09 June 2023,30 January 2024,"- Support the climate, energy, and socio-economic transitions of the territories in the Alpine Massif
- Support the implementation of diversification strategies in tourism and the creation of new sustainable tourism offerings
- Enhance the cultural and natural heritage to promote sustainable tourism
- Improve the itinerant tourism offer by renovating mountain shelters
- Projects must be located within the territory of the Alpine Massif
- Eligible beneficiaries include local authorities, nature parks, public establishments, associations, private companies, and mixed economy companies
- The total funding available for the call is €3,000,000
- The call has two application deadlines: October 12, 2023, and January 30, 2024",3000000,NA,https://europe.maregionsud.fr//projets/detail/soutien-au-tourisme-diversifie-et-durable-dans-le-massif-alpin
Soutien à l'accessibilité et aux éco-mobilités touristiques et de loisirs dans le massif alpin.,open,"Cet appel à projets vise à soutenir des projets d'écomobilité touristique et de loisirs dans le massif alpin. L'objectif est de favoriser une approche durable, une meilleure gestion des flux touristiques et de promouvoir les bonnes pratiques de mobilité durable. Les projets éligibles doivent être réalisés dans le territoire du Massif des Alpes. Le montant total de l'appel est de 1 500 000 €.",09 June 2023,19 October 2023,"- Develop eco-mobility projects for tourism, leisure, and daily transportation purposes.
- Projects should be related to the strategies developed by valley areas.
- Eco-mobility should be seen as both a means of transport to tourist sites and a tourism product and experience in itself.
- The projects should aim to improve or renew the image and attractiveness of a given territory.
- Eligible beneficiaries include territorial collectivities, regional or national nature parks, public establishments including intermunicipal cooperation establishments, mixed syndicates, associations, and local public enterprises.
- The operations planned in the project should be carried out within the territory of the Massif des Alpes.
- The total budget of the call is €1,500,000.
- The call for projects is open from June 9, 2023, to October 19, 2023.",1500000,NA,https://europe.maregionsud.fr//projets/detail/soutien-a-laccessibilite-et-aux-eco-mobilites-touristiques-et-de-loisirs-dans-le-massif-alpin
Améliorer l’accès à l’emploi en soutenant l’entrepreneuriat.,open,"The call for projects aims to improve access to employment by supporting entrepreneurship. The project will provide support and training for business creation and takeover, as well as assistance for business sellers. It will also focus on professionalization, coordination, and networking among support organizations. Special attention will be given to actions targeting vulnerable territories, promoting equality, and integrating sustainable development principles. The call is complementary to another project, ""Mon Projet d'Entreprise,"" and will be implemented in the Provence-Alpes-Côte d’Azur region. The total budget for the call is 10,000,000 Euros. The application period is from April 28th, 2023, to October 31st, 2023.",28 April 2023,31 October 2023,"- Appui et formation à la création/reprise d'entreprise
- Accompagnement du cédant d'entreprises
- Professionnalisation, animation et coordination des acteurs de l'accompagnement
- Cibler les territoires fragilisés tels que les QPV et les territoires ruraux
- Favoriser l'égalité des genres, la mixité des publics et la lutte contre toutes les formes de discrimination
- Intégrer les principes de développement durable
- Durée maximale des projets pluriannuels de 3 ans
- Structures sélectionnées par le SIEG « Mon Projet d'Entreprise » 2022-2024
- Collectivités territoriales",10000000,NA,https://europe.maregionsud.fr//projets/detail/ameliorer-lacces-a-lemploi-en-soutenant-lentrepreneuriat-1
Restaurer les continuités écologiques pour maintenir la biodiversité et ses fonctionnalités.,open,"Cet appel à projets vise à restaurer les continuités écologiques pour maintenir la biodiversité et ses fonctionnalités. Il vise à réduire la fragmentation des habitats, permettre la libre circulation des espèces et réduire la pression des usages sur les milieux naturels. Les bénéficiaires potentiels comprennent les organismes publics, les gestionnaires d'espaces naturels, les associations et les entreprises. Le projet doit être réalisé sur le territoire de la région Provence-Alpes-Côte d'Azur ou bénéficier au territoire régional. Le montant total de l'appel est de 15 000 000 €. La période de dépôt des demandes de subvention va du 26/04/2023 au 28/09/2023.",26 April 2023,28 September 2023,"- Restaurer les continuités écologiques pour maintenir un bon état de conservation des habitats naturels
- Permettre aux espèces animales et végétales de se déplacer et de se développer pour assurer leur cycle de vie
- Réduire la fragmentation des habitats
- Permettre la libre circulation des espèces
- Réduire la pression des usages sur les milieux et les habitats
- Restaurer les corridors écologiques et les réservoirs de biodiversité altérés
- Mettre en transparence les infrastructures et autres obstacles à la circulation des espèces
- Réduire les pressions d'usage et les nuisances sur les espèces et les habitats
- Être situé sur le territoire de la région Provence-Alpes-Côte d’Azur ou bénéficier au territoire régional
- Disposer d'un budget total de 15 000 000 €
- Date d'ouverture de l'appel : 26/04/2023
- Date de clôture de l'appel : 28/09/2023",15000000,NA,https://europe.maregionsud.fr//projets/detail/restaurer-les-continuites-ecologiques-pour-maintenir-la-biodiversite-et-ses-fonctionnalites
Accroître l’offre certifiée du bois d’œuvre alpin transformé localement,open,"This call for projects aims to increase the certified supply of locally transformed alpine timber in the Massif des Alpes region. The objective is to support companies registered in the ""Bois des Alpes"" certification process and help them meet the growing demand for processed wood products in the construction sector. The goal is also to stimulate the local economy and create jobs by promoting the sustainable use of resources in the Massif des Alpes. The call for projects focuses on two measures: supporting the modernization and capacity improvement of local timber transformation companies, and supporting network animation and the structuring of actors in the local timber transformation sector. The eligible beneficiaries for Measure 1 are small and medium-sized enterprises (SMEs) in the first and second timber transformation sector that are certified or in the process of being certified as ""Bois des Alpes."" The eligible beneficiaries for Measure 2 are associations. The operations planned in the project must be carried out within the Massif des Alpes territory. The total amount of the call is 2,500,000 euros. The opening date is 04/04/2023, and the closing date is 15/10/2023.",04 April 2023,15 October 2023,"- Increase the supply of locally processed certified wood in the Alpine region.
- Support businesses in the certification process of ""Bois des Alpes"".
- Help businesses better meet the local demand for processed wood products.
- Promote the local economy and job creation through the rational use of resources in the Alpine region.
- Modernize and improve the local production capacities of small and medium-sized enterprises involved in the first and second transformation of certified wood.
- Support the networking and structuring of actors involved in the local wood transformation.
- Eligible beneficiaries include small and medium-sized enterprises involved in the first and second transformation of certified wood, as well as associations.
- The operations must be carried out within the territory of the Alpine region.
- The total funding amount for the call is 2,500,000 euros.
- The call for projects is open from April 4, 2023, to October 15, 2023.",2500000,NA,https://europe.maregionsud.fr//projets/detail/accroitre-loffre-certifiee-du-bois-doeuvre-alpin-transforme-localement-1
Réduire les inégalités dans les quartiers politique de la ville - ITI NCA,open,"Cet appel à projets vise à réduire les inégalités dans les quartiers prioritaires de la politique de la ville de la Métropole Nice Côte d'Azur. Il s'agit notamment de soutenir les équipements collectifs, d'améliorer le cadre de vie et la sécurisation des quartiers, et de promouvoir le développement des activités économiques. Les bénéficiaires potentiels de cet appel sont les structures publiques et privées, ainsi que les bailleurs sociaux. Les projets doivent être déposés sur le portail E-Synergie et les dates limites de dépôt sont le 15 juin 2023 et le 19 octobre 2023. Le montant total de l'appel est de 3 000 000 €.",14 April 2023,19 October 2023,"- Réduire les inégalités dans les quartiers prioritaires de la politique de la ville
- Soutenir les équipements collectifs pour améliorer l'accès aux services de base
- Améliorer le cadre de vie et la sécurisation des zones urbaines pour favoriser leur attractivité
- Soutenir le développement des activités économiques pour créer des emplois
- Les bénéficiaires potentiels sont les structures publiques, privées et les bailleurs sociaux
- Les zones d'éligibilité sont les quartiers de la politique de la ville inclus dans le périmètre géographique de l'ITI NCA
- Le dépôt des projets se fait sur le portail E-Synergie
- Le montant total de l'appel à projets est de 3 000 000 €
- Les dates de dépôt sont le 15 juin 2023 et le 19 octobre 2023.",3000000,NA,https://europe.maregionsud.fr//projets/detail/reduire-les-inegalites-dans-les-quartiers-politique-de-la-ville-iti-nca
Réduire les inégalités dans les quartiers politique de la ville (TPM),open,"L'appel à projets vise à réduire les inégalités dans les quartiers de la politique de la ville (TPM) en soutenant les équipements collectifs, en améliorant le cadre de vie et en soutenant le développement des activités économiques. Les bénéficiaires potentiels sont les structures publiques, privées et les bailleurs sociaux. Le montant total de l'appel est de 2 400 000 €. Les projets peuvent être déposés sur le portail E-Synergie jusqu'au 11 mai 2023 et le 16 novembre 2023.",16 March 2023,16 November 2023,"- Réduire les inégalités dans les quartiers prioritaires de la politique de la ville
- Soutenir les équipements collectifs pour améliorer l'accès aux services de base pour la population
- Améliorer le cadre de vie et la sécurité pour rendre les quartiers plus attractifs
- Soutenir le développement des activités économiques pour favoriser l'emploi
- Les bénéficiaires potentiels sont les structures publiques, privées et les bailleurs sociaux
- Les quartiers éligibles sont ceux inscrits dans le périmètre géographique de l'ITI TPM
- La procédure de dépôt se fait sur le portail E-Synergie avec deux dates limites de dépôt
- Le montant total de l'appel est de 2 400 000 €
- La date d'ouverture de l'appel est le 16 mars 2023 et la date de clôture est le 16 novembre 2023",2400000,NA,https://europe.maregionsud.fr//projets/detail/reduire-les-inegalites-dans-les-quartiers-politique-de-la-ville-tpm
Réduire les inégalités dans les quartiers politique de la ville (MAMP),open,"Cet appel à projets vise à réduire les inégalités dans les quartiers prioritaires de la politique de la ville en agissant sur différents leviers tels que le soutien aux équipements collectifs, l'amélioration du cadre de vie et la sécurisation des zones urbaines ainsi que le développement des activités économiques. Les bénéficiaires potentiels sont les structures publiques (collectivités territoriales, établissements publics...), privées (entreprises, associations...) et les bailleurs sociaux. L'appel est ouvert du 16/03/2023 au 19/10/2023, avec un montant total de 11 000 000 €.",16 March 2023,19 October 2023,"- Réduire les inégalités dans les quartiers politique de la ville
- Soutenir les équipements collectifs pour améliorer l'accès aux services de base
- Améliorer le cadre de vie et la sécurisation des zones urbaines
- Soutenir le développement des activités économiques pour favoriser l'emploi
- Structures publiques, privées et bailleurs sociaux peuvent soumissionner
- Les quartiers politique de la ville inscrits dans le périmètre géographique de l'ITI MAMP sont éligibles
- Deux dates de dépôt : 25 mai 2023 et 19 octobre 2023
- Montant total de l'appel : 11 000 000 €",11000000,NA,https://europe.maregionsud.fr//projets/detail/reduire-les-inegalites-dans-les-quartiers-politique-de-la-ville
